Title,Period,Date,Culture,Medium,Dimensions,Classification,Credit Line,Accession Number
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 15/16 x 1 1/16 in. (2.4 x 2.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1857
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/16 x 1 3/16 in. (2.7 x 3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1858
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 9/16 x 2 1/8 in. (1.4 x 5.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1859
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 15/16 in. (2.2 x 2.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1860
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 1 9/16 in. (1.5 x 4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1861
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 13/16 in. (2.1 x 2.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1862
Glass network mosaic fragment,Early Imperial,late 1st century B.C.–early 1st century A.D.,Roman,Glass; cast,Other: 13/16 x 1 1/16 in. (2.1 x 2.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1863
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 x 1 3/16 in. (2.6 x 3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1864
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 15/16 in. (1.6 x 2.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1865
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 1 1/16 in. (2.1 x 2.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1866
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 1 1/16 in. (1.6 x 2.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1867
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 1 5/16 in. (1.9 x 3.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1868
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 1 3/8 in. (2.1 x 3.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1869
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Glass,Other: 3/4 x 1 in. (2 x 2.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1870
Mosaic glass fragment,Early Imperial,late 1st century B.C.–early 1st century A.D.,Roman,Glass; cast,Other: 3/4 x 1 3/16 in. (2 x 3.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1871
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Glass,Other: 13/16 x 1 1/4 in. (2 x 3.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1872
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/4 x 3/4 in. (3.1 x 2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1873
Fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 9/16 x 1 7/16 in. (1.5 x 3.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1874
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 1 5/16 in. (1.7 x 3.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1875
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 15/16 in. (2 x 2.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1876
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 1 1/8 in. (2.3 x 2.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1877
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 7/8 in. (2 x 2.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1878
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 15/16 in. (2.2 x 2.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1879
Mosaic glass fragment,Early Imperial,late 1st century B.C.–early 1st century A.D.,Roman,Glass; cast,Overall: 7/8 x 1 5/16 in. (2.2 x 3.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1880
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 15/16 x 1 in. (2.3 x 2.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1881
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 in. (1.7 x 2.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1882
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 1 7/16 in. (1.7 x 3.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1883
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 15/16 x 1 1/16 in. (2.4 x 2.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1884
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 9/16 x 1 7/16 in. (1.5 x 3.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1885
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 1/16 in. (1.8 x 2.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1886
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 1 1/16 in. (1.9 x 2.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1887
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/8 x 15/16 in. (2.9 x 2.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1888
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/16 x 1 11/16 in. (2.7 x 4.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1889
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 3/16 x 1 3/16 in. (3 x 3.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1890
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 1 in. (2.1 x 2.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1891
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 in. (1.7 x 2.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1892
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 15/16 x 15/16 in. (2.3 x 2.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1893
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 x 1 1/8 in. (2.6 x 2.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1894
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 15/16 in. (2.2 x 2.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1895
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 11/16 x 1 3/4 in. (4.3 x 4.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1896
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 5/16 x 1 13/16 in. (3.3 x 4.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1897
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 1 1/8 in. (1.6 x 2.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1898
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 x 13/16 in. (2.5 x 2.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1899
Fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/8 x 1 9/16 in. (2.9 x 3.9 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1900
Fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 9/16 x 1 5/8 in. (3.9 x 4.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1901
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 1 in. (2.3 x 2.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1902
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 15/16 in. (2 x 2.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1903
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 7/8 in. (2 x 2.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1904
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 13/16 in. (1.8 x 2.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1905
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 11/16 in. (2 x 1.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1906
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 x 1 1/16 in. (2.5 x 2.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1907
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 7/8 in. (1.8 x 2.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1908
Fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 x 1 1/4 in. (2.5 x 3.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1909
Glass block with gold leaf,Early Imperial,late 1st century B.C.–early 1st century A.D.,Roman,Glass; cast,Overall: 1 9/16 x 1/2 in. (4 x 1.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1910
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 1 in. (2.2 x 2.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1911
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 1/16 in. (1.7 x 2.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1912
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 15/16 in. (2.1 x 2.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1913
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 7/16 in. (1.7 x 3.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1914
Glass monochrome fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 x 1 1/4 in. (2.6 x 3.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1915
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 1 3/16 in. (1.6 x 3.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1916
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 1 9/16 in. (2.1 x 3.9 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1917
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 1/4 in. (1.7 x 3.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1918
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/16 x 15/16 in. (2.7 x 2.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1919
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 1 in. (1.9 x 2.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1920
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Overall: 13/16 in. 6.1lb. (2 cm 2.8kg),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1921
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 15/16 x 1 1/16 in. (2.3 x 2.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1922
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 in. (1.7 x 2.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1923
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 7/8 in. (2.2 x 2.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1924
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 1 15/16 in. (1.9 x 4.9 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1925
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 1 3/16 in. (1.9 x 3.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1926
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 5/8 in. (1.7 x 4.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1927
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 1/16 in. (1.8 x 2.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1928
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 7/8 in. (2.2 x 2.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1929
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 13/16 in. (1.8 x 2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1930
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 1 5/16 in. (2.1 x 3.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1931
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Glass,Other: 9/16 x 7/8 in. (1.4 x 2.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1932
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/16 x 1 5/16 in. (2.7 x 3.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1933
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 7/8 in. (2.1 x 2.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1934
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 1 3/16 in. (1.5 x 3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1935
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1/2 x 1 1/8 in. (1.2 x 2.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1936
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 1/16 in. (1.8 x 2.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1937
Fragment,NULL-PERIOD,NULL-DATE,Roman,Glass; cast,Other: 3/4 x 1 3/16 in. (2 x 3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1938
Glass striped mosaic bowl fragment,NULL-PERIOD,NULL-DATE,Roman,Glass; cast,Other: 3/4 x 1 3/16 in. (1.8 x 3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1939
Glass monochrome fragment,NULL-PERIOD,NULL-DATE,Roman,Glass; cast,Other: 5/16 x 2 3/16 in. (0.8 x 5.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1940
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 1 1/8 in. (1.6 x 2.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1941
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 1 in. (2 x 2.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1942
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 1 1/16 in. (1.9 x 2.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1943
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 13/16 x 1 5/16 in. (2.1 x 3.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1944
Glass network mosaic fragment,Early Imperial,late 1st century B.C.–early 1st century A.D.,Roman,Glass; cast,Other: 5/8 x 1 1/8 in. (1.7 x 2.9 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1945
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 1 in. (1.8 x 2.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1946
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 1 1/4 in. (1.8 x 3.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1947
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/16 x 1 1/8 in. (2.7 x 2.9 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1948
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 1 in. (1.9 x 2.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1949
Glass network mosaic fragment,Early Imperial,late 1st century B.C.–early 1st century A.D.,Roman,Glass; cast,Other: 1 1/16 x 1 5/16 in. (2.7 x 3.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1950
Glass network mosaic fragment,Early Imperial,late 1st century B.C.–early 1st century A.D.,Roman,Glass; cast,Other: 1 7/16 x 1 3/8 in. (3.6 x 3.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1951
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/8 x 1 3/16 in. (2.9 x 3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1952
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 13/16 in. (1.6 x 2.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1953
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 3/16 x 1 1/2 in. (3 x 3.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1954
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 7/16 in. (1.7 x 3.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1955
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 3/8 x 1 in. (3.5 x 2.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1956
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 1/4 in. (1.8 x 3.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1957
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 1 1/8 in. (1.7 x 2.9 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1958
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 3/8 x 1 in. (3.5 x 2.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1959
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/16 x 7/8 in. (2.7 x 2.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1960
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 1 in. (2.3 x 2.6 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1961
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/16 x 11/16 in. (2.7 x 1.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1962
Glass mosaic inlay fragment,NULL-PERIOD,NULL-DATE,Roman,Glass; cast,Other: 1 1/2 x 13/16 in. (3.8 x 2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1963
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 3/16 x 7/8 in. (3 x 2.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1964
Glass monochrome fragment,NULL-PERIOD,NULL-DATE,Roman,Glass; cast,Other: 15/16 x 7/8 in. (2.5 x 2.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1965
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 9/16 x 1 3/8 in. (1.4 x 3.5 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1966
Glass monochrome inlay fragment,NULL-PERIOD,NULL-DATE,Roman,Glass; cast,Other: 7/16 x 1 5/16 in. (1.2 x 3.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1967
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 15/16 in. (1.7 x 2.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1968
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 9/16 x 1 3/16 in. (1.5 x 3.1 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1969
Glass monochrome fragment,NULL-PERIOD,NULL-DATE,Roman,Glass; cast,Other: 7/16 x 1 5/8 x 13/16 in. (1.1 x 4.2 x 2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1970
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/16 x 11/16 in. (2.7 x 1.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1971
Mosaic glass bowl fragment,Early Imperial,late 1st century B.C.–early 1st century A.D.,Roman,Glass; cast,Overall: 3/4 x 1 5/16 in. (1.9 x 3.3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1972
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 2 1/8 in. (1.7 x 5.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1973
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 7/8 x 3/4 in. (2.3 x 1.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1974
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 15/16 in. (1.6 x 2.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1975
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 15/16 x 7/8 in. (2.3 x 2.2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1976
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 1 1/8 in. (1.5 x 2.8 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1977
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 3/4 x 1 3/16 in. (1.9 x 3 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1978
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 1 1/16 in. (1.6 x 2.7 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1979
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1 1/16 x 9/16 in. (2.6 x 1.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1980
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 9/16 x 15/16 in. (1.4 x 2.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1981
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 1/2 x 1 9/16 in. (1.2 x 4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1982
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 11/16 x 13/16 in. (1.7 x 2 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1983
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 5/8 x 15/16 in. (1.5 x 2.4 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1984
Mosaic glass fragment,NULL-PERIOD,NULL-DATE,Roman,Glass,Other: 15/16 x 3/4 in. (2.3 x 1.9 cm),Glass,Edward C. Moore Collection Bequest of Edward C. Moore 1891,91.1.1985
